User ID,Vehicle Model,Charging Station Location,Vehicle Age (years),Charger Type,User Type
User_414,BMW i3,San Francisco,0,Level 1,Long-Distance Traveler
User_415,Tesla Model 3,New York,0,Level 1,Commuter
User_416,Hyundai Kona,Los Angeles,7,Level 2,Commuter
User_417,Nissan Leaf,Houston,6,DC Fast Charger,Casual Driver
User_418,Nissan Leaf,New York,0,Level 2,Casual Driver
User_419,Hyundai Kona,Chicago,0.461661553,Level 1,Long-Distance Traveler
User_420,BMW i3,Chicago,0,DC Fast Charger,Casual Driver
User_421,Nissan Leaf,Los Angeles,2,DC Fast Charger,Long-Distance Traveler
User_422,BMW i3,Los Angeles,4,Level 2,Long-Distance Traveler
User_423,Nissan Leaf,Houston,2,DC Fast Charger,Commuter
User_424,Nissan Leaf,Houston,3,DC Fast Charger,Commuter
User_425,Chevy Bolt,Los Angeles,3,Level 1,Commuter
User_426,Nissan Leaf,Los Angeles,6,Level 2,Commuter
User_427,Tesla Model 3,Chicago,2,Level 1,Commuter
User_428,Hyundai Kona,Los Angeles,2,Level 2,Long-Distance Traveler
User_429,Hyundai Kona,San Francisco,3,Level 1,Commuter
User_430,BMW i3,New York,1,Level 2,Commuter
User_431,Nissan Leaf,Los Angeles,2,DC Fast Charger,Commuter
User_432,Tesla Model 3,Houston,2,DC Fast Charger,Long-Distance Traveler
User_433,BMW i3,San Francisco,5,Level 2,Casual Driver
User_434,Chevy Bolt,Houston,2,Level 2,Casual Driver
User_435,BMW i3,San Francisco,5,Level 2,Commuter
User_436,BMW i3,Los Angeles,4,Level 2,Casual Driver
User_437,Nissan Leaf,New York,6,DC Fast Charger,Long-Distance Traveler
User_438,Chevy Bolt,Houston,2,Level 2,Commuter
User_439,BMW i3,San Francisco,7,DC Fast Charger,Long-Distance Traveler
User_440,Tesla Model 3,Chicago,5,DC Fast Charger,Long-Distance Traveler
User_441,Tesla Model 3,Los Angeles,5,Level 2,Commuter
User_442,Hyundai Kona,New York,4.690347029,DC Fast Charger,Long-Distance Traveler
User_443,Chevy Bolt,Los Angeles,0.739410755,Level 2,Commuter
User_444,Chevy Bolt,Chicago,7,DC Fast Charger,Long-Distance Traveler
User_445,Hyundai Kona,New York,0.910504317,Level 2,Casual Driver
User_446,BMW i3,Chicago,5,Level 2,Casual Driver
User_447,Chevy Bolt,Los Angeles,6,Level 1,Casual Driver
User_448,Tesla Model 3,San Francisco,6,Level 1,Long-Distance Traveler
User_449,Tesla Model 3,Los Angeles,3,Level 2,Commuter
User_450,Nissan Leaf,Los Angeles,4,Level 1,Casual Driver
User_451,Chevy Bolt,Los Angeles,2,DC Fast Charger,Commuter
User_452,BMW i3,Houston,2.044744282,Level 2,Casual Driver
User_453,Hyundai Kona,Chicago,2,Level 2,Casual Driver
User_454,Hyundai Kona,Chicago,1,Level 2,Long-Distance Traveler
User_455,BMW i3,Chicago,7,Level 1,Casual Driver
User_456,Nissan Leaf,Houston,1,Level 1,Commuter
User_457,Hyundai Kona,San Francisco,0,DC Fast Charger,Commuter
User_458,Chevy Bolt,Los Angeles,2,Level 1,Casual Driver
User_459,Nissan Leaf,San Francisco,6.238923431,Level 1,Commuter
User_460,Chevy Bolt,Houston,2.081759465,DC Fast Charger,Commuter
User_461,Tesla Model 3,Chicago,0,Level 2,Commuter
User_462,Nissan Leaf,Los Angeles,1,Level 2,Commuter
User_463,Hyundai Kona,New York,6,DC Fast Charger,Commuter
User_464,Nissan Leaf,New York,7,Level 1,Casual Driver
User_465,Nissan Leaf,San Francisco,6,DC Fast Charger,Commuter
User_466,Nissan Leaf,Chicago,5,DC Fast Charger,Commuter
User_467,Nissan Leaf,New York,4,Level 2,Casual Driver
User_468,Chevy Bolt,San Francisco,4,Level 1,Long-Distance Traveler
User_469,Tesla Model 3,Houston,7,Level 2,Commuter
User_470,BMW i3,San Francisco,1.087110728,Level 2,Long-Distance Traveler
User_471,Nissan Leaf,San Francisco,0,DC Fast Charger,Long-Distance Traveler
User_472,Hyundai Kona,San Francisco,6,Level 2,Casual Driver
User_473,Nissan Leaf,Los Angeles,6,Level 2,Long-Distance Traveler
User_474,Hyundai Kona,San Francisco,0,Level 2,Long-Distance Traveler
User_475,Chevy Bolt,San Francisco,5,Level 1,Long-Distance Traveler
User_476,Hyundai Kona,Los Angeles,6,Level 1,Casual Driver
User_477,BMW i3,Los Angeles,3,Level 2,Commuter
User_478,Tesla Model 3,Houston,2,DC Fast Charger,Casual Driver
User_479,Hyundai Kona,Chicago,5,DC Fast Charger,Casual Driver
User_480,Hyundai Kona,New York,7,Level 2,Casual Driver
User_481,Tesla Model 3,New York,1,Level 1,Commuter
User_482,BMW i3,San Francisco,1,DC Fast Charger,Long-Distance Traveler
User_483,Nissan Leaf,Houston,7,DC Fast Charger,Commuter
User_484,Hyundai Kona,San Francisco,5,Level 1,Long-Distance Traveler
User_485,Tesla Model 3,New York,7,Level 1,Commuter
User_486,Chevy Bolt,Los Angeles,7,DC Fast Charger,Casual Driver
User_487,Tesla Model 3,Chicago,6,Level 2,Casual Driver
User_488,Chevy Bolt,Houston,0,DC Fast Charger,Long-Distance Traveler
User_489,BMW i3,Los Angeles,3,Level 1,Casual Driver
User_490,Nissan Leaf,Chicago,6,Level 1,Casual Driver
User_491,Tesla Model 3,Houston,5.166465086,Level 1,Commuter
User_492,Hyundai Kona,Houston,6,Level 1,Long-Distance Traveler
User_493,BMW i3,New York,1,Level 2,Commuter
User_494,Tesla Model 3,Los Angeles,1,DC Fast Charger,Commuter
User_495,Hyundai Kona,Houston,4,Level 1,Casual Driver
User_496,Tesla Model 3,Houston,4,Level 1,Commuter
User_497,Chevy Bolt,Chicago,2,Level 1,Long-Distance Traveler
User_498,Tesla Model 3,New York,6,DC Fast Charger,Casual Driver
User_499,Tesla Model 3,San Francisco,2,Level 1,Long-Distance Traveler
User_500,Tesla Model 3,New York,5,DC Fast Charger,Long-Distance Traveler
User_501,BMW i3,San Francisco,5,Level 2,Long-Distance Traveler
User_502,Tesla Model 3,Los Angeles,5,Level 1,Long-Distance Traveler
User_503,Hyundai Kona,Los Angeles,2,Level 2,Commuter
User_504,Chevy Bolt,Houston,0,DC Fast Charger,Casual Driver
User_505,Chevy Bolt,Los Angeles,4,Level 2,Commuter
User_506,Tesla Model 3,Houston,7,Level 1,Casual Driver
User_507,BMW i3,New York,6,Level 2,Commuter
User_508,BMW i3,Los Angeles,2,Level 2,Casual Driver
User_509,Hyundai Kona,New York,3,Level 2,Long-Distance Traveler
User_510,Tesla Model 3,New York,3,Level 2,Long-Distance Traveler
User_511,Chevy Bolt,Los Angeles,7,Level 2,Commuter
User_512,BMW i3,New York,2,DC Fast Charger,Commuter
User_513,Tesla Model 3,Los Angeles,5,DC Fast Charger,Long-Distance Traveler
User_514,BMW i3,Los Angeles,4,Level 1,Commuter
User_515,BMW i3,Los Angeles,7,DC Fast Charger,Commuter
User_516,Chevy Bolt,San Francisco,2,DC Fast Charger,Casual Driver
User_517,Nissan Leaf,New York,4,Level 1,Casual Driver
User_518,Hyundai Kona,Chicago,0,DC Fast Charger,Casual Driver
User_519,Hyundai Kona,Los Angeles,3,Level 1,Commuter
User_520,Chevy Bolt,New York,7,Level 1,Long-Distance Traveler
User_521,BMW i3,Houston,6,DC Fast Charger,Long-Distance Traveler
User_522,Tesla Model 3,Los Angeles,3,Level 2,Long-Distance Traveler
User_523,BMW i3,Los Angeles,7,Level 1,Long-Distance Traveler
User_524,Chevy Bolt,Chicago,0.917719641,Level 2,Casual Driver
User_525,Hyundai Kona,San Francisco,1.806079637,Level 1,Casual Driver
User_526,BMW i3,San Francisco,1,DC Fast Charger,Commuter
User_527,Hyundai Kona,Los Angeles,4,Level 2,Long-Distance Traveler
User_528,Tesla Model 3,New York,6,Level 1,Commuter
User_529,Hyundai Kona,Houston,3,DC Fast Charger,Long-Distance Traveler
User_530,Hyundai Kona,Houston,5,Level 2,Long-Distance Traveler
User_531,Nissan Leaf,New York,7,DC Fast Charger,Commuter
User_532,Nissan Leaf,Los Angeles,0,DC Fast Charger,Casual Driver
User_533,Nissan Leaf,Houston,4,Level 2,Commuter
User_534,Hyundai Kona,San Francisco,7,Level 1,Commuter
User_535,Chevy Bolt,New York,6,Level 1,Long-Distance Traveler
User_536,Hyundai Kona,Chicago,6,DC Fast Charger,Casual Driver
User_537,Chevy Bolt,Los Angeles,3,Level 1,Commuter
User_538,Chevy Bolt,New York,4,Level 2,Casual Driver
User_539,Nissan Leaf,Houston,2,Level 2,Casual Driver
User_540,BMW i3,Los Angeles,5,DC Fast Charger,Casual Driver
User_541,Tesla Model 3,San Francisco,2,DC Fast Charger,Casual Driver
User_542,Nissan Leaf,Los Angeles,9.076121184,Level 2,Long-Distance Traveler
User_543,Nissan Leaf,Los Angeles,0,Level 2,Long-Distance Traveler
User_544,BMW i3,San Francisco,4,DC Fast Charger,Long-Distance Traveler
User_545,Tesla Model 3,San Francisco,2,DC Fast Charger,Long-Distance Traveler
User_546,Hyundai Kona,Los Angeles,4,Level 2,Long-Distance Traveler
User_547,Hyundai Kona,San Francisco,6,DC Fast Charger,Commuter
User_548,Nissan Leaf,New York,5,Level 1,Casual Driver
User_549,Tesla Model 3,San Francisco,6,Level 2,Long-Distance Traveler
User_550,Nissan Leaf,San Francisco,6,Level 2,Casual Driver
User_551,Chevy Bolt,Los Angeles,7,DC Fast Charger,Long-Distance Traveler
User_552,Nissan Leaf,New York,5,DC Fast Charger,Long-Distance Traveler
User_553,Nissan Leaf,Chicago,3,Level 2,Commuter
User_554,Hyundai Kona,Chicago,2,DC Fast Charger,Casual Driver
User_555,Hyundai Kona,Houston,4,Level 1,Long-Distance Traveler
User_556,Hyundai Kona,San Francisco,2,DC Fast Charger,Long-Distance Traveler
User_557,Chevy Bolt,San Francisco,1,Level 2,Commuter
User_558,Hyundai Kona,New York,1.957893907,DC Fast Charger,Casual Driver
User_559,Tesla Model 3,Chicago,4,Level 2,Casual Driver
User_560,BMW i3,Houston,7,Level 1,Long-Distance Traveler
User_561,Tesla Model 3,New York,1,Level 2,Commuter
User_562,Tesla Model 3,San Francisco,6,Level 1,Commuter
User_563,Hyundai Kona,Chicago,4,Level 1,Long-Distance Traveler
User_564,BMW i3,Houston,6,Level 1,Casual Driver
User_565,BMW i3,Los Angeles,5,Level 1,Long-Distance Traveler
User_566,BMW i3,Chicago,4,Level 1,Casual Driver
User_567,Chevy Bolt,Houston,2,DC Fast Charger,Commuter
User_568,Hyundai Kona,New York,1,Level 1,Long-Distance Traveler
User_569,BMW i3,Los Angeles,0,DC Fast Charger,Long-Distance Traveler
User_570,Chevy Bolt,Houston,4,DC Fast Charger,Long-Distance Traveler
User_571,Nissan Leaf,Houston,1,DC Fast Charger,Casual Driver
User_572,Nissan Leaf,San Francisco,4,Level 2,Casual Driver
User_573,Chevy Bolt,Chicago,0,Level 2,Commuter
User_574,Chevy Bolt,San Francisco,3,Level 1,Casual Driver
User_575,Hyundai Kona,Los Angeles,3.898678749,DC Fast Charger,Casual Driver
User_576,Hyundai Kona,Houston,2,Level 2,Long-Distance Traveler
User_577,Nissan Leaf,San Francisco,5,DC Fast Charger,Commuter
User_578,BMW i3,Chicago,3,Level 2,Commuter
User_579,Nissan Leaf,Los Angeles,6,DC Fast Charger,Long-Distance Traveler
User_580,BMW i3,New York,1,Level 2,Casual Driver
User_581,BMW i3,San Francisco,4,Level 1,Casual Driver
User_582,Hyundai Kona,Los Angeles,2,Level 1,Long-Distance Traveler
User_583,Tesla Model 3,New York,3,Level 1,Long-Distance Traveler
User_584,Tesla Model 3,San Francisco,4.814970203,DC Fast Charger,Casual Driver
User_585,Chevy Bolt,Los Angeles,5,Level 1,Commuter
User_586,Hyundai Kona,Los Angeles,3,Level 1,Long-Distance Traveler
User_587,BMW i3,San Francisco,6.817970665,Level 2,Casual Driver
User_588,Tesla Model 3,Los Angeles,1.896445307,Level 2,Long-Distance Traveler
User_589,BMW i3,Houston,5,Level 2,Commuter
User_590,Tesla Model 3,San Francisco,4,Level 1,Commuter
User_591,Tesla Model 3,Los Angeles,3,Level 2,Casual Driver
User_592,Tesla Model 3,New York,4.415774009,Level 2,Commuter
User_593,Hyundai Kona,New York,4,Level 1,Long-Distance Traveler
User_594,Nissan Leaf,Houston,0,Level 2,Commuter
User_595,BMW i3,San Francisco,7,DC Fast Charger,Casual Driver
User_596,Hyundai Kona,Los Angeles,2,Level 2,Long-Distance Traveler
User_597,Hyundai Kona,Los Angeles,7,DC Fast Charger,Commuter
User_598,Hyundai Kona,New York,5,Level 2,Commuter
User_599,Hyundai Kona,Houston,0,Level 2,Commuter
User_600,Hyundai Kona,New York,4,DC Fast Charger,Casual Driver
User_601,Chevy Bolt,New York,0.524095028,Level 1,Casual Driver
User_602,BMW i3,Houston,7,DC Fast Charger,Commuter
User_603,Hyundai Kona,San Francisco,0,Level 1,Long-Distance Traveler
User_604,BMW i3,Los Angeles,2,Level 2,Commuter
User_605,Chevy Bolt,San Francisco,0,Level 1,Long-Distance Traveler
User_606,Chevy Bolt,Chicago,1.658013067,Level 1,Long-Distance Traveler
User_607,BMW i3,Chicago,7,DC Fast Charger,Casual Driver
User_608,Tesla Model 3,Chicago,6,Level 1,Commuter
User_609,Nissan Leaf,Houston,0,Level 1,Casual Driver
User_610,Tesla Model 3,New York,2,DC Fast Charger,Commuter
User_611,Tesla Model 3,San Francisco,7,Level 1,Long-Distance Traveler
User_612,Tesla Model 3,Los Angeles,4,Level 1,Casual Driver
User_613,Hyundai Kona,Chicago,5,DC Fast Charger,Casual Driver
User_614,Chevy Bolt,San Francisco,0,DC Fast Charger,Casual Driver
User_615,Tesla Model 3,Chicago,3,DC Fast Charger,Long-Distance Traveler
User_616,Chevy Bolt,Chicago,1,Level 1,Casual Driver
User_617,BMW i3,Los Angeles,6,Level 2,Commuter
User_618,Nissan Leaf,Houston,6,DC Fast Charger,Commuter
User_619,BMW i3,New York,5,DC Fast Charger,Long-Distance Traveler
User_620,BMW i3,Houston,5,Level 1,Casual Driver
User_621,Hyundai Kona,San Francisco,7,Level 2,Commuter
User_622,Nissan Leaf,Houston,3,Level 2,Casual Driver
User_623,BMW i3,San Francisco,7,Level 1,Commuter
User_624,BMW i3,San Francisco,7,DC Fast Charger,Long-Distance Traveler
User_625,Nissan Leaf,New York,0,Level 1,Commuter
User_626,Nissan Leaf,Los Angeles,5,Level 2,Commuter
User_627,BMW i3,New York,3,DC Fast Charger,Commuter
User_628,Nissan Leaf,Houston,6,Level 2,Long-Distance Traveler
User_629,BMW i3,San Francisco,5,Level 2,Commuter
User_630,BMW i3,Chicago,6,Level 2,Long-Distance Traveler
User_631,Hyundai Kona,Chicago,6,Level 2,Long-Distance Traveler
User_632,Tesla Model 3,San Francisco,4,DC Fast Charger,Commuter
User_633,BMW i3,New York,4,DC Fast Charger,Casual Driver
User_634,Chevy Bolt,Los Angeles,0,DC Fast Charger,Commuter
User_635,Tesla Model 3,New York,7,Level 1,Long-Distance Traveler
User_636,Tesla Model 3,San Francisco,4,DC Fast Charger,Casual Driver
User_637,Tesla Model 3,San Francisco,2,Level 2,Commuter
User_638,Hyundai Kona,Los Angeles,2,Level 2,Commuter
User_639,BMW i3,Houston,3,DC Fast Charger,Commuter
User_640,Hyundai Kona,Houston,6,DC Fast Charger,Commuter
User_641,BMW i3,Los Angeles,1,Level 1,Commuter
User_642,Hyundai Kona,Houston,2,DC Fast Charger,Casual Driver
User_643,Hyundai Kona,Chicago,5,Level 1,Commuter
User_644,Chevy Bolt,Houston,4,DC Fast Charger,Long-Distance Traveler
User_645,Hyundai Kona,Houston,4,Level 1,Long-Distance Traveler
User_646,Nissan Leaf,Houston,6,DC Fast Charger,Casual Driver
User_647,Chevy Bolt,Chicago,7,DC Fast Charger,Long-Distance Traveler
User_648,Hyundai Kona,Houston,0,DC Fast Charger,Casual Driver
User_649,Tesla Model 3,Chicago,1,Level 1,Long-Distance Traveler
User_650,Nissan Leaf,Los Angeles,7,Level 2,Casual Driver
User_651,Nissan Leaf,New York,7,Level 1,Commuter
User_652,Nissan Leaf,Los Angeles,1,DC Fast Charger,Long-Distance Traveler
User_653,Chevy Bolt,New York,5,Level 2,Long-Distance Traveler
User_654,Hyundai Kona,Los Angeles,1,Level 1,Casual Driver
User_655,Hyundai Kona,New York,3,Level 1,Casual Driver
User_656,Tesla Model 3,New York,7,Level 2,Casual Driver
User_657,Tesla Model 3,San Francisco,5,DC Fast Charger,Long-Distance Traveler
User_658,Nissan Leaf,New York,3,Level 2,Casual Driver
User_659,Tesla Model 3,New York,7,DC Fast Charger,Commuter
User_660,Chevy Bolt,San Francisco,3,Level 2,Casual Driver
User_661,Hyundai Kona,Houston,2.82548197,Level 1,Commuter
User_662,Nissan Leaf,Houston,1,Level 1,Commuter
User_663,Tesla Model 3,San Francisco,6,Level 1,Casual Driver
User_664,Chevy Bolt,Chicago,4,DC Fast Charger,Commuter
User_665,Chevy Bolt,New York,4,DC Fast Charger,Commuter
User_666,Tesla Model 3,New York,1,Level 2,Commuter
User_667,Hyundai Kona,San Francisco,5,DC Fast Charger,Casual Driver
User_668,Tesla Model 3,San Francisco,7.197041544,DC Fast Charger,Casual Driver
User_669,Nissan Leaf,Chicago,2,Level 2,Commuter
User_670,Tesla Model 3,Houston,4,DC Fast Charger,Long-Distance Traveler
User_671,Chevy Bolt,Los Angeles,5,Level 2,Commuter
User_672,Tesla Model 3,Houston,5,DC Fast Charger,Casual Driver
User_673,Hyundai Kona,New York,0,DC Fast Charger,Commuter
User_674,BMW i3,San Francisco,1,Level 1,Commuter
User_675,Tesla Model 3,Chicago,0,DC Fast Charger,Casual Driver
User_676,Hyundai Kona,Houston,4,Level 2,Casual Driver
User_677,Hyundai Kona,Chicago,0,Level 2,Long-Distance Traveler
User_678,Chevy Bolt,Houston,6,Level 1,Commuter
User_679,Hyundai Kona,New York,6,Level 2,Commuter
User_680,Hyundai Kona,Los Angeles,4,Level 1,Commuter
User_681,Hyundai Kona,Chicago,0,DC Fast Charger,Long-Distance Traveler
User_682,Hyundai Kona,Chicago,3,Level 1,Long-Distance Traveler
User_683,Nissan Leaf,Los Angeles,2.896360664,DC Fast Charger,Commuter
User_684,Nissan Leaf,Chicago,6,Level 2,Casual Driver
User_685,Chevy Bolt,Chicago,0,Level 1,Commuter
User_686,Tesla Model 3,Houston,5,Level 2,Commuter
User_687,Hyundai Kona,Houston,0,Level 2,Commuter
User_688,Tesla Model 3,Los Angeles,4,Level 2,Casual Driver
User_689,Tesla Model 3,New York,1,Level 2,Long-Distance Traveler
User_690,Chevy Bolt,Chicago,2,Level 2,Long-Distance Traveler
User_691,Hyundai Kona,New York,4,Level 1,Commuter
User_692,Hyundai Kona,Los Angeles,3,Level 2,Commuter
User_693,BMW i3,Los Angeles,2,Level 1,Commuter
User_694,Tesla Model 3,Houston,7,Level 1,Casual Driver
User_695,Tesla Model 3,Chicago,1,Level 1,Commuter
User_696,Nissan Leaf,San Francisco,4,Level 2,Casual Driver
User_697,BMW i3,Los Angeles,0,Level 2,Commuter
User_698,Nissan Leaf,Chicago,7,Level 1,Commuter
User_699,Nissan Leaf,New York,2,Level 2,Commuter
User_700,Nissan Leaf,Houston,0,Level 1,Long-Distance Traveler
User_701,Chevy Bolt,New York,1,Level 2,Commuter
User_702,Chevy Bolt,Los Angeles,5,Level 2,Commuter
User_703,Nissan Leaf,Los Angeles,6,Level 1,Commuter
User_704,BMW i3,New York,6,Level 2,Commuter
User_705,Tesla Model 3,Los Angeles,0,Level 1,Casual Driver
User_706,BMW i3,Chicago,3,Level 1,Casual Driver
User_707,Hyundai Kona,Los Angeles,3.608134873,Level 2,Commuter
User_708,Chevy Bolt,Houston,4,Level 2,Casual Driver
User_709,Tesla Model 3,Chicago,5.489700152,Level 1,Commuter
User_710,Tesla Model 3,San Francisco,5,Level 1,Commuter
User_711,Hyundai Kona,Los Angeles,0,Level 1,Casual Driver
User_712,Hyundai Kona,Los Angeles,2,DC Fast Charger,Casual Driver
User_713,Nissan Leaf,Houston,5,Level 2,Commuter
User_714,Chevy Bolt,Houston,0,DC Fast Charger,Long-Distance Traveler
User_715,Chevy Bolt,New York,0,Level 1,Commuter
User_716,BMW i3,New York,6,DC Fast Charger,Commuter
User_717,Nissan Leaf,New York,0,Level 1,Long-Distance Traveler
User_718,Nissan Leaf,Houston,1,DC Fast Charger,Casual Driver
User_719,Nissan Leaf,New York,1,DC Fast Charger,Long-Distance Traveler
User_720,Nissan Leaf,New York,4,Level 2,Commuter
User_721,Chevy Bolt,San Francisco,2,Level 2,Casual Driver
User_722,Chevy Bolt,New York,5,DC Fast Charger,Long-Distance Traveler
User_723,Nissan Leaf,Los Angeles,5,Level 1,Long-Distance Traveler
User_724,BMW i3,Houston,1,Level 2,Commuter
User_725,Tesla Model 3,Chicago,3,DC Fast Charger,Long-Distance Traveler
User_726,Tesla Model 3,San Francisco,1,Level 1,Commuter
User_727,BMW i3,Houston,1,Level 2,Casual Driver
User_728,Nissan Leaf,Houston,4,DC Fast Charger,Long-Distance Traveler
User_729,Chevy Bolt,Los Angeles,6,Level 1,Casual Driver
User_730,Tesla Model 3,New York,7,Level 1,Casual Driver
User_731,Hyundai Kona,Los Angeles,0.689886654,DC Fast Charger,Commuter
User_732,Hyundai Kona,New York,0,Level 1,Long-Distance Traveler
User_733,BMW i3,New York,11.68859247,DC Fast Charger,Casual Driver
User_734,Nissan Leaf,Houston,2,Level 1,Long-Distance Traveler
User_735,Tesla Model 3,New York,6,DC Fast Charger,Long-Distance Traveler
User_736,Nissan Leaf,San Francisco,6,Level 2,Long-Distance Traveler
User_737,Tesla Model 3,San Francisco,6,Level 1,Long-Distance Traveler
User_738,BMW i3,San Francisco,6,DC Fast Charger,Casual Driver
User_739,BMW i3,Houston,3.697095409,DC Fast Charger,Long-Distance Traveler
User_740,Hyundai Kona,Los Angeles,1,Level 1,Commuter
User_741,Nissan Leaf,Chicago,5,Level 2,Commuter
User_742,Hyundai Kona,New York,6,DC Fast Charger,Long-Distance Traveler
User_743,Nissan Leaf,Chicago,0,Level 2,Long-Distance Traveler
User_744,Hyundai Kona,Los Angeles,2,Level 1,Commuter
User_745,Chevy Bolt,Los Angeles,0,Level 2,Long-Distance Traveler
User_746,Chevy Bolt,Houston,6,Level 1,Casual Driver
User_747,Chevy Bolt,San Francisco,5,DC Fast Charger,Long-Distance Traveler
User_748,Chevy Bolt,San Francisco,5,Level 2,Long-Distance Traveler
User_749,Tesla Model 3,Los Angeles,5,Level 1,Casual Driver
User_750,Chevy Bolt,Houston,5,DC Fast Charger,Long-Distance Traveler
User_751,BMW i3,Houston,3,Level 2,Casual Driver
User_752,BMW i3,New York,7,Level 1,Casual Driver
User_753,Tesla Model 3,San Francisco,6,Level 2,Commuter
User_754,Chevy Bolt,Los Angeles,6,DC Fast Charger,Commuter
User_755,Chevy Bolt,Chicago,7,DC Fast Charger,Long-Distance Traveler
User_756,Chevy Bolt,San Francisco,2,Level 1,Commuter
User_757,Hyundai Kona,New York,4,Level 2,Long-Distance Traveler
User_758,Nissan Leaf,Houston,3,Level 2,Long-Distance Traveler
User_759,Hyundai Kona,Los Angeles,5,DC Fast Charger,Commuter
User_760,Nissan Leaf,San Francisco,3,Level 2,Commuter
User_761,Chevy Bolt,Chicago,4,Level 2,Long-Distance Traveler
User_762,Chevy Bolt,New York,1,Level 2,Long-Distance Traveler
User_763,Hyundai Kona,New York,6,Level 1,Long-Distance Traveler
User_764,Hyundai Kona,San Francisco,4,DC Fast Charger,Casual Driver
User_765,Nissan Leaf,Chicago,2,Level 1,Long-Distance Traveler
User_766,BMW i3,New York,7,DC Fast Charger,Long-Distance Traveler
User_767,Nissan Leaf,Los Angeles,4,Level 1,Long-Distance Traveler
User_768,Hyundai Kona,New York,4,Level 1,Commuter
User_769,Hyundai Kona,Chicago,7,Level 1,Commuter
User_770,Tesla Model 3,Houston,1,Level 2,Casual Driver
User_771,Hyundai Kona,Houston,0,DC Fast Charger,Long-Distance Traveler
User_772,Tesla Model 3,San Francisco,1,Level 1,Long-Distance Traveler
User_773,BMW i3,Chicago,2,Level 2,Long-Distance Traveler
User_774,Nissan Leaf,New York,3,Level 1,Long-Distance Traveler
User_775,Nissan Leaf,New York,1,Level 2,Long-Distance Traveler
User_776,Tesla Model 3,Houston,5,Level 1,Long-Distance Traveler
User_777,Nissan Leaf,Houston,7,DC Fast Charger,Commuter
User_778,Hyundai Kona,Los Angeles,2,DC Fast Charger,Casual Driver
User_779,Chevy Bolt,Houston,4,Level 1,Commuter
User_780,Tesla Model 3,Los Angeles,6,Level 1,Commuter
User_781,Nissan Leaf,New York,6,Level 1,Commuter
User_782,Tesla Model 3,Los Angeles,5,Level 1,Casual Driver
User_783,Tesla Model 3,Los Angeles,2,Level 2,Long-Distance Traveler
User_784,Chevy Bolt,San Francisco,3,DC Fast Charger,Casual Driver
User_785,Hyundai Kona,Houston,6,Level 2,Commuter
User_786,Tesla Model 3,Los Angeles,1,DC Fast Charger,Commuter
User_787,Nissan Leaf,New York,0,Level 1,Commuter
User_788,BMW i3,Chicago,3,DC Fast Charger,Commuter
User_789,Tesla Model 3,Los Angeles,1,Level 1,Long-Distance Traveler
User_790,Tesla Model 3,Houston,1,Level 1,Commuter
User_791,Chevy Bolt,San Francisco,3,Level 2,Commuter
User_792,Hyundai Kona,New York,7,DC Fast Charger,Long-Distance Traveler
User_793,BMW i3,San Francisco,6,Level 2,Commuter
User_794,Nissan Leaf,Chicago,3.043569798,Level 2,Long-Distance Traveler
User_795,BMW i3,Los Angeles,7,Level 2,Casual Driver
User_796,Nissan Leaf,Los Angeles,4,Level 2,Long-Distance Traveler
User_797,Hyundai Kona,Houston,3,DC Fast Charger,Commuter
User_798,Nissan Leaf,Los Angeles,0,DC Fast Charger,Long-Distance Traveler
User_799,Chevy Bolt,New York,7,Level 2,Commuter
User_800,Chevy Bolt,Chicago,7,DC Fast Charger,Commuter
User_801,Chevy Bolt,San Francisco,3,Level 1,Casual Driver
User_802,Chevy Bolt,Chicago,2,DC Fast Charger,Commuter
User_803,BMW i3,Los Angeles,3,Level 2,Commuter
User_804,Hyundai Kona,San Francisco,1,Level 1,Commuter
User_805,Nissan Leaf,Houston,1.208633083,Level 1,Long-Distance Traveler
User_806,Nissan Leaf,Chicago,2,Level 1,Commuter
User_807,Chevy Bolt,San Francisco,5,Level 1,Commuter
User_808,Chevy Bolt,San Francisco,0,Level 1,Commuter
User_809,Tesla Model 3,San Francisco,3.286324572,Level 2,Casual Driver
User_810,Hyundai Kona,New York,2,Level 2,Casual Driver
User_811,BMW i3,Chicago,0,Level 1,Long-Distance Traveler
User_812,Nissan Leaf,San Francisco,0.088598258,Level 2,Casual Driver
User_813,Tesla Model 3,Chicago,5,DC Fast Charger,Casual Driver
User_814,Tesla Model 3,San Francisco,5,Level 2,Long-Distance Traveler
User_815,Nissan Leaf,Houston,2,DC Fast Charger,Casual Driver
User_816,BMW i3,Houston,6,Level 2,Commuter
User_817,Tesla Model 3,Houston,2,DC Fast Charger,Commuter
User_818,Tesla Model 3,Los Angeles,0,DC Fast Charger,Commuter
User_819,Hyundai Kona,San Francisco,3.73405531,Level 1,Casual Driver
User_820,BMW i3,Los Angeles,4,Level 2,Long-Distance Traveler
User_821,Tesla Model 3,Chicago,1,Level 1,Casual Driver
User_822,BMW i3,Los Angeles,0,DC Fast Charger,Long-Distance Traveler
User_823,Nissan Leaf,Chicago,4,Level 2,Commuter
User_824,Chevy Bolt,Chicago,0,Level 2,Long-Distance Traveler
User_825,Tesla Model 3,Chicago,7,Level 1,Commuter
User_826,Hyundai Kona,Los Angeles,3,Level 2,Casual Driver
User_827,Nissan Leaf,San Francisco,5,Level 2,Casual Driver
